20-12-2022 | 14: 50: 17,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 50: 23,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 50: 29,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 50: 35,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 50: 41,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 50: 46,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 50: 52,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 50: 57,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 03,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 08,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 14,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 19,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 25,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 32,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 38,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 44,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 50,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 51: 56,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 52: 02,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 52: 09,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 52: 14,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 52: 20,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 52: 26,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 52: 32,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 52: 38,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 52: 44,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 52: 50,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 52: 56,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 53: 02,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 53: 07,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 53: 15,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 53: 22,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 53: 27,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 53: 33,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 53: 39,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 53: 46,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 53: 52,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 53: 58,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 04,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 10,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 16,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 22,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 27,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 34,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 39,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 45,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 52,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 54: 58,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 55: 04,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 55: 11,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 55: 18,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 55: 25,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 55: 31,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 55: 36,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 55: 42,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 55: 47,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 55: 53,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 55: 59,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 04,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 10,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 15,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 21,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 26,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 32,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 37,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 43,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 49,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 56: 55,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 57: 00,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 57: 06,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 57: 12,6,Binance USD,1.0,-0.1,18350116156
